cs 1110,introduction to computing using python,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recusion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming, and GUIs (graphical user interfaces). Weekly labs provide guided practice on the computer, with staff present to help. Assignments use graphics and GUIs to help develop fluency and understanding.","fall,spring,summer",general,,
cs 1112,introduction to computing using matlab,"Programming and problem solving using MATLAB. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, recursion, object-oriented programming, and MATLAB graphics. Assignments are designed to build an appreciation for complexity, dimension, fuzzy data, inexact arithmetic, randomness, simulation, and the role of approximation.","fall,spring",general,,
cs 1132,short course in matlab,"Introduction to the MATLAB programming language. Covers the basic programming constructs of MATLAB, including assignment, conditionals, iteration, functions, arrays, vectorized computation, and scientific graphics. Designed for students who need MATLAB for research or other courses. Does not assume any previous programming experience.","fall,spring",general,,
cs 1133,short course in python,"Introduction to the Python programming language. Covers the basic programming constructs of Python, including assignment, conditionals, iteration, functions, object-oriented design, arrays, and vectorized computation. Designed for students who need Python for research or other courses. Does not assume any previous programming experience.","fall,spring",general,,
cs 1300,introductory design and programming for the web,"The World Wide Web is both a technology and a pervasive and powerful resource in our society and culture. To build functional and effective web sites, students need technical and design skills as well as analytical skills for understanding who is using the web, in what ways they are using it, and for what purposes. In this course, students develop skills in all three of these areas through the use of technologies such as XHTML, Cascading Stylesheets, and PHP. Students study how web sites are deployed and used, usability issues on the web, user-centered design, and methods for visual layout and information architecture. Through the web, this course provides an introduction to the interdisciplinary field of information science.",fall,general,,
cs 1620,visual imaging in the electronic age,"Interdisciplinary survey course designed to introduce students in the creative arts, science, and engineering to the concepts of 2D and 3D digital pictorial representation and display. It is a concept course that concentrates on ""why"" rather than ""how."" Topics include perspective representations, display technology, how television works, bandwidth concepts, digital photography, computer graphics modeling and rendering, color perception, 3D data acquisition, volumetric imaging, and historical precedents, primarily from the art world.",fall,general,,
cs 1998,freshmen and nontechnical team projects,Freshmen and Nontechnical Team Projects.,"fall,spring",general,,
cs 2024,c++ programming,"An intermediate introduction to the C++ programming language and the C/C++ standard libraries. Topics include basic statements, declarations, and types; stream I/O; user-defined classes and types; derived classes, inheritance, and object-oriented programming; exceptions and templates. Recommended for students who plan to take advanced courses in computer science that require familiarity with C++ or C.",fall,general,,
cs 2048,introduction to iphone development,"This course covers the basics of application development for the iPhone. No prior knowledge of iOS development is required, but familiarity with object-oriented programming is assumed. Topics taught include Xcode, Storyboard, Objective-C, Swift and UIKit including UITableView._Although no physical iPhone is needed, since the course is taught using the simulators that come with Xcode, every student is expected to come to each of the four sessions with a MacBook running OSX 10.9 or higher with Xcode installed in advance of the first lecture.",fall,general,"cs 2110,cs 2112",
cs 2110,object-oriented programming and data structures,"Intermediate programming in a high-level language and introduction to computer science. Topics include program structure and organization, object-oriented programming (classes, objects, types, sub-typing), graphical user interfaces, algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, data structures (lists, trees, stacks, queues, heaps, search trees, hash tables, graphs), graph algorithms. Java is the principal programming language.","fall,spring,summer",general,"cs 1110,cs 1112,cs 1114,cs 1115",
cs 2111,programming practicum,"Meets weekly for one hour, in collaboration with CS 2110. Designed to enhance understanding of object-oriented programming, use of the application for writing Java programs, and other programming issues, as well as theoretical concepts that arise in CS 2110. The hour is spent in ways appropriate to the material under study -lecture, question-answer session, problem solving in small groups, one-on-one help, etc.","fall,spring",general,,
cs 2112,object-oriented design and data structures - honors,"Honors version of CS 2110/ENGRD 2110; credit is given for only one of CS 2110_and 2112. Corrective transfer between CS 2110_and 2112 (in either direction) is encouraged during first three weeks. Intermediate software design and introduction to key computer science ideas. Topics are similar to those in CS 2110_but are covered in greater depth, with more challenging assignments. Topics include object-oriented programming, program structure and organization, program reasoning using specifications and invariants, recursion, design patterns, concurrent programming, graphical user interfaces, data structures as in CS 2110, sorting and graph algorithms, asymptotic complexity, and simple algorithm analysis. Java is the principal programming language.",fall,core,cs 1110,
cs 2800,discrete structures,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and predicate calculus; combinatorics and discrete mathematics; some basic elements of basic probability theory; basic number theory; sets, functions, and relations; graphs; and finite-state machines. These topics are discussed in the context of applications to many areas of computer science, such as the RSA cryptosystem and web searching.","fall,spring",core,,
cs 2850,networks,"This interdisciplinary course examines network structures and how they matter in everyday life. The course examines how each of the computing, economic, sociological and natural worlds are connected and how the structure of these connections affects each of these worlds. Tools of graph theory and game theory are taught and then used to analyze networks. Topics covered include the web, the small world phenomenon, markets, neural networks, contagion, search and the evolution of networks.",fall,computer graphics,,
cs 3110,data structures and functional programming,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.","fall,spring",database,cs 2110,"cs 3410,cs 3420"
cs 3410,computer system organization and programming,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.","fall,spring",core,cs 2110;cs 2024,cs 3110
cs 4090,teaching experience in computer science,Earn course credit for working as a consultant or ugrad TA in a computer science course.,"fall,spring",core,,
cs 4154,analytics-driven game design,"A project-based course in which programmers and designers collaborate to design, biuld, and release a video game online through popular game portals. Students instrument their games to gather anonymous usage statistics from players and analyze this data to improve their game over multiple iterations. Technical aspects of this course include game mechanics, telemetry, A/B testing, and statistical analysis.",fall,general,cs 2110,
cs 4210,numerical analysis and differential equations,"Introduction to the fundamentals of numerical analysis: error analysis, approximation, interpolation, numerical integration. In the second half of the course, the above are used to build approximate solvers for ordinary and partial differential equations. Strong emphasis is placed on understanding the advantages, disadvantages, and limits of applicability for all the covered techniques. Computer programming is required to test the theoretical concepts throughout the course.",fall,general,,
cs 4320,introduction to database systems,"Introduction to modern database and data storage systems. Concepts covered include data models, query languages, database designs, storage structures, access methods, query processing and optimization, transaction management, and recovery in both relational and nonrelation data storage systems.",fall,general,cs 2110;cs 2800.,
cs 4321,practicum in database systems,Students build part of a database system in Java.,fall,computer graphics,,
